claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"With 67% of our net emissions reduced our Scope 1 FLAG net emissions by 24% compared
2
attributed to Scope 3 emissions from our supply chain, we continue to strengthen our supply chain engagement efforts to address to FY2020, driven by our NDPE policy, reduction in peat areas,
and reduce these emissions in collaboration with our suppliers.",False,False,True,True,,soft,spec,0.8924182057380676
"Additionally, we lowered our
Scope 1 Energy and Industrial emissions by 24%, due to
an increase in biogas capture plants, from nine in 2020 to
19 in 2024.",False,False,False,False,,soft,spec,0.9640272259712219
"• Enhancing Scope 3 emission reductions through supplier
Scope 1 (31%) Scope 2 (2%) Scope 3 (62%) Others (5%)
engagement, regenerative agriculture, and nature-based
solutions.",False,False,False,False,,soft,spec,0.7849568724632263
"GHG Emissions Intensities Unit FY2023 FY2024 SD Guthrie also engaged with suppliers on climate action
through the CDP Supply Chain Programme, direct
GHG Emissions (Net of Removal) tCO 2 e/MT of refined products 2.711 2.572 engagements, and capability building sessions to align
Intensity of Refineries suppliers’ commitments with our net-zero targets, and
enhance suppliers’ understanding of SBTi.",False,False,False,False,,hard,spec,0.5956107378005981
and compliance with our deforestation-free commitments.,True,False,False,False,,hard,spec,0.5122569799423218
"significant milestone by delivering its first shipment of
delivering on No Deforestation commitments, an improvement
40,250 metric tonnes (MT) of EUDR-compliant palm oil to
from 73% in 2023.",True,False,True,False,,hard,spec,0.9621953964233398
"of 24,250 MT arrived at SD Guthrie International’s Zwijndrecht With the aim to provide equal opportunities for all and to 6,350 7,300
To fulfil our commitment in having a fully traceable and Refinery in the Netherlands, followed by a second shipment maintain a zero-tolerance stance on discrimination, we have
deforestation-free supply chain, we plan to intensify supplier of 16,000 MT to the Liverpool Refinery in the UK.",True,True,False,False,,hard,spec,0.9459995031356812
"Pioneered by SD Guthrie in 1985 and now an industry • Penghargaan Desa Bebas Api ‒ a programme that Illegal burning by communities 17
benchmark for sustainable agriculture, this technique encouraged to adopt zero-burning practices.",False,False,False,False,,hard,spec,0.620456874370575
"Traceability to Plantation
Deforestation-Free Sourcing in Coconut Production
• Overall Traceability to Plantations (TTP) 84.9%
SD Guthrie International conducted a comprehensive
assessment of coconut plantations in Papua New Guinea, – SD Guthrie-owned mills 100%
enhancing supply chain transparency and sustainability.",True,True,False,False,,hard,spec,0.595711350440979
This pilot shipment is fully traceable and verified to meet stringent deforestation-free standards.,True,True,False,False,,hard,spec,0.5874080657958984
"by enabling traceability of raw materials throughout our palm related to our No Deforestation, No Peat, and No Exploitation • SD Guthrie International directly sources from 13,665 hectares
This thorough screening ensures that both existing and
oil supply chain.",True,True,True,True,,hard,spec,0.5599192976951599
"For our upstream mills,
‘Working with Suppliers to Draw the Line on Deforestation’
Control Points (HACCP) training to reinforce certification 55 out of 65 mills are HACCP certified (85%).",True,False,False,False,,soft,spec,0.5663657784461975
"one facility
FY2022 FY2023 FY2024 Specific to our Indonesian subsidiary, we continued to host the requirements for all certified sustainable palm oil
Sustainability Monthly Event, engaging over 400 employees (CSPO) sales.",False,False,False,False,,soft,spec,0.8265795707702637
"By capturing and converting methane from palm oil mill effluent (POME) into biogas, we actively reduce
greenhouse gas emission (GHG), while optimising resource efficiency.",False,False,False,False,,soft,spec,0.6175207495689392
"This initiative resulted in annual savings of 767 metric
practices are in place to ensure compliance with environmental regulations, while minimising our ecological impact.",False,False,False,False,,soft,spec,0.7323123812675476
"Additionally, we utilise mulched empty 22 km of pipeline, with estimated annual savings of around
management across all levels of our organisation.",False,False,False,False,,soft,spec,0.9134508967399597
"SD Guthrie International Biodiesel launched the UCO Buy Back Effluent To uphold the highest standards, we have invested in state-of-the art laboratory testing
Programme to educate employees about proper UCO disposal.",False,False,False,False,,soft,spec,0.5882912874221802
"We are committed to ensuring that the
(PKE) in animal feed not only supports sustainable agricultural SD Guthrie International Biodiesel’s refinery.",False,False,False,False,,soft,spec,0.5064899325370789
"We have installed rainwater harvesting systems,
Effluent and To enhance our regulatory compliance, we are in the midst of proposing new sampling
redesigned water distribution infrastructure to minimise Demonstrating our progress in driving a circular economy,
Sampling requirements, which include:
leakages, and implemented various heat and cold energy we collected a total of 15,135 kg of UCO through our UCO
Requirements
recovery systems, while also pursuing energy optimisation Buy Back Programme.",False,False,False,False,,soft,spec,0.7221574187278748
"Our sustainability initiatives
94,572 94,420 circular economy solutions for material waste streams focus on conserving key species such as elephants, orangutans, tigers, otters, proboscis monkeys, Queen Alexandra’s Birdwing
and pursuing innovative strategies to reduce waste Butterflies, and Santa Cruz Ground Doves through awareness programmes, habitat management, and restoration and breeding
throughout our business.",False,False,False,False,,soft,spec,0.5724074244499207
"We expanded reforestation efforts during the year, focusing on RTE and
0.95 native species to enhance biodiversity and carbon sequestration.",False,False,False,False,,soft,spec,0.6946202516555786
"Building on our Biodiversity Policy, we are working towards developing a comprehensive Conservation and Biodiversity Framework
0.74
0.65 0.67 by FY2025, in line with our aims under the “Beyond Zero” Framework.",False,False,False,False,2025,hard,spec,0.6633580327033997
"Running from 2023 to 2025, the project aims to
accelerating data collection, establishing biodiversity reference
nursery have been successfully transplanted into our estates’ establish a peat rehabilitation model for converting unproductive
frameworks across diverse habitats, as well as enhancing our
buffer zones.",False,False,False,True,2025,soft,spec,0.5768734216690063
"Geotagging
The project will evaluate best management practices for
SD GUTHRIE’S PERFORMANCE In 2024, we established our digital mapping efforts for the peatland rehabilitation as outlined in the Roundtable on
Nestlé RELeaf tree planting project.",False,False,False,True,,soft,spec,0.5155760049819946
"in 2022, 26 estates have participated, with 23 successfully
Our reforestation efforts targeted areas that are designated as In addition, the rehabilitated area will secure carbon stocks
conducting geotagging using internal software applications.",False,False,False,False,,soft,spec,0.7269026637077332
"We also advanced our efforts to convert rubber plantations Other estates that were not involved in the RELeaf project
into forests, enhancing carbon sequestration and offsetting also conducted geotagging as part of the Group’s climate
MOVING FORWARD
our carbon footprint.",False,False,False,False,,soft,spec,0.7295267581939697
"By the end of 2024, we successfully planted 13,719 trees were recorded as standing or available across we will continue to enhance our reforestation and biodiversity
41,967 trees across 56 hectares.",False,False,False,False,,soft,spec,0.9383465647697449
"Additionally, our
regenerative agriculture framework is on track for completion
In collaboration with three smallholder growers and the SD Guthrie and the Malaysian Palm Oil Green Conservation by 2028.",False,False,False,False,,soft,spec,0.6274646520614624
"The tree nurseries that were March 2023 to restore 50 hectares of peatland in Lavang Estate, and accelerate our journey toward net-zero.",False,False,False,True,,hard,spec,0.8967372179031372
"By December 2024, we had completed
used water used 1,600 housing units, achieving 25% of our total target of
Our refineries in both water-stressed and low-risk water stress Social Dialogue 6,890 units by 2032.",False,False,False,False,,soft,spec,0.9530820846557617
"We aim to realise a 20% increase in
(OHD) certification.",False,False,False,False,,soft,spec,0.8677492141723633
"As part of our commitment issues related to land tenure and Malaysian Sustainable Palm
to responsible sourcing, we have achieved 100% traceability of Oil (MSPO) certification.",False,True,False,False,,soft,spec,0.5989995002746582
"Additionally, initiatives like the
Mama Loosefruit Scheme focus on empowering women Total CSR spend (FY2024)
smallholders, promoting gender equality, and sustainability
RM55.4 million
leadership within their communities.",False,False,False,False,,soft,spec,0.8739153742790222
"NBPOL also supported
Indonesia’s palm oil industry.",False,False,False,False,,soft,spec,0.6141211986541748
"MOVING FORWARD
Indonesia
Programme Number of Number of Hectares/FFB Community Support SD Guthrie aims to improve the livelihoods of 50,000
schemes smallholders produced smallholders by 2035 under our “Beyond Zero” Framework.",False,False,False,False,,hard,spec,0.7052423357963562
